,PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
572,"27,500",2,"in Kondapur, Hyderabad",1400,Bathrooms2,Semi
573,"18,500",1,"in Kondapur, Hyderabad",650,Bathrooms1,Semi
574,"40,000",2,"in Madhapur, Hyderabad",1250,Bathrooms2,Fully
575,"35,000",2,"in Kondapur, Hyderabad",1250,Bathrooms2,Fully
576,"14,000",1,"in Kondapur, Hyderabad",800,Bathrooms1,Un
577,"18,000",1,"in Kondapur, Hyderabad",800,Bathrooms1,Semi
578,"34,000",3,"in Kondapur, Hyderabad",1700,Bathrooms3,Fully
579,"55,000",3,"in Madhapur, Hyderabad",1900,Bathrooms3,Semi
580,"50,001",3,"in Madhapur, Hyderabad",1850,Bathrooms3,Semi
581,"23,000",2,"in Narayanguda, Hyderabad",1100,Bathrooms1,Semi
582,"10,000",1,in Bharat Heavy Electricals,500,Bathrooms1,Un
583,"20,000",2,"in Malkajgiri, Hyderabad",1100,Bathrooms2,Semi
584,"55,000",3,"in Begumpet, Hyderabad",1800,Bathrooms3,Fully
585,"65,000",3,"in Kokapet, Hyderabad",2169,Bathrooms3,Fully
586,"42,000",3,"in Chandanagar, Hyderabad",2250,Bathrooms3,Semi
587,"42,000",3,"in Chandanagar, Hyderabad",2250,Bathrooms3,Semi
588,"65,015",3,"in Kokapet, Hyderabad",2169,Bathrooms3,Fully
589,"6,000",1,"in Mansanpally, Hyderabad",550,Bathrooms1,Semi
590,"10,000",2,"in Mansanpally, Hyderabad",1200,Bathrooms2,Semi
591,"15,000",3,"in Mansanpally, Hyderabad",1550,Bathrooms3,Semi
592,"12,000",2,in Nagaram South Hyderabad,1150,Bathrooms2,Semi
593,"7,500",1,in Nagaram South Hyderabad,1200,Bathrooms1,Un
594,"12,000",2,in Nagaram South Hyderabad,1200,Bathrooms2,Un
595,"10,000",2,in Nagaram South Hyderabad,1500,Bathrooms2,Un
596,"10,000",2,in Nagaram South Hyderabad,1250,Bathrooms2,Semi
597,"18,000",3,"in Maheshwaram, Hyderabad",1500,Bathrooms3,Un
598,"10,000",2,"in Maheshwaram, Hyderabad",1180,Bathrooms2,Semi
599,"18,000",2,"in Maheshwaram, Hyderabad",1200,Bathrooms2,Semi
600,"6,000",1,"in Maheshwaram, Hyderabad",550,Bathrooms1,Semi
601,"8,000",1,"in Maheshwaram, Hyderabad",650,Bathrooms1,Semi
